case_name,docket_number,date_filed,court,payment_found,payment_amount,outcome,url
"Curadev Pharma PVT. LTD. and Curadev Pharma Limited v. the University of Texas Southwestern Medical Center, Dr. Xiaochen Bai, and Dr. Xuewu Zhang (Tex. App.-Houston [15th Dist.] 2025)",15-25-00004-CV,2025-02-24,"Texas Court of Appeals, 15th District",0,,1.0,https://www.courtlistener.com/opinion/10348486/curadev-pharma-pvt-ltd-and-curadev-pharma-limited-v-the-university-of/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=13
"D.P. v. S.P. (N.Y. Sup. Ct., Westchester Cty. 2025)",Index No. XXXXX,2025-02-20,"New York Supreme Court, Westchester County",0,,,https://www.courtlistener.com/opinion/10337447/dp-v-sp/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=13
In re N.B. (Ohio Ct. App. 2025),31148,2025-02-19,Ohio Court of Appeals,0,,1.0,https://www.courtlistener.com/opinion/10335441/in-re-nb/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=13
Pietro Campanella v. S. Kent Rockwell (Del. Ch. 2025),2021-1013-LWW,2025-02-18,Court of Chancery of Delaware,1,$6.83,0.0,https://www.courtlistener.com/opinion/10334532/pietro-campanella-v-s-kent-rockwell/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=13
Gauthier v. Gauthier (Ohio Ct. App. 2025),CA2024-05-026,2025-02-18,Ohio Court of Appeals,1,"$225,476.94",1.0,https://www.courtlistener.com/opinion/10334520/gauthier-v-gauthier/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=13
"E-NUMERATE SOLUTIONS, INC. v. United States (Fed. Cl. 2025)",19-859,2025-02-13,United States Court of Federal Claims,0,,,https://www.courtlistener.com/opinion/10333445/e-numerate-solutions-inc-v-united-states/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=13
"Jermille Johnson v. Elizabeth Cleveland, Johnny Bridges, Ray F. Butler, Raymond W. Hill, Board of Supervisors of Harrison County, Mississippi, State of Mississippi, and John McAdams, In His Official Capacity As Chancery Clerk of Harrison County, Mississippi (Miss. Ct. App. 2025)",2023-CA-01011-COA,2025-02-13,Court of Appeals of Mississippi,0,,0.0,https://www.courtlistener.com/opinion/10628710/jermille-johnson-v-elizabeth-cleveland-johnny-bridges-ray-f-butler/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=13
US Synthetic Corp. v. Itc (Fed. Cir. 2025),23-1217,2025-02-13,Court of Appeals for the Federal Circuit,0,,1.0,https://www.courtlistener.com/opinion/10332562/us-synthetic-corp-v-itc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=13
Mille Lacs Band of Ojibwe v. Erica Madore (8th Cir. 2025),23-1257,2025-02-12,Court of Appeals for the Eighth Circuit,0,,0.0,https://www.courtlistener.com/opinion/10331928/mille-lacs-band-of-ojibwe-v-erica-madore/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=13
"Exothermics, Inc. v. P Ernst & Young U.S. LLP & Ernst & Young LLP (D.N.H. 2025)",24-cv-00290-LM,2025-02-06,"District Court, D. New Hampshire",0,,,https://www.courtlistener.com/opinion/10693859/exothermics-inc-v-p-ernst-young-us-llp-ernst-young-llp/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=13
"Colin Booth v. Evan Smith, Katherine Faulkner, and Highland Park Technologies, Inc. (Mass. Super. Ct. 2025)",2484CV01941-BLS2,2025-02-05,Massachusetts Superior Court,1,"$15,000",,https://www.courtlistener.com/opinion/10642675/colin-booth-v-evan-smith-katherine-faulkner-and-highland-park/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=13
DAVIS v. United States (Fed. Cl. 2025),24-364,2025-02-04,United States Court of Federal Claims,0,,1.0,https://www.courtlistener.com/opinion/10327014/davis-v-united-states/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=13
"Collision Communications, Inc. v. P Nokia Solutions and Networks OY (D.N.H. 2025)",20-cv-949-JD,2025-01-31,"District Court, D. New Hampshire",1,$23million,1.0,https://www.courtlistener.com/opinion/10697928/collision-communications-inc-v-p-nokia-solutions-and-networks-oy/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=13
"Honeywell Int'l, Inc. v. United States (Ct. Intl. Trade 2025)",17-00256,2025-01-30,United States Court of International Trade,0,,1.0,https://www.courtlistener.com/opinion/10324052/honeywell-intl-inc-v-united-states/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=13
Richard Mark Dudley and Deanie Palmer Dudley v. Texas Municipal Power Agency (Tex. App.-Houston [15th Dist.] 2025),15-24-00066-CV,2025-01-29,"Texas Court of Appeals, 15th District",1,"$223,556.25",1.0,https://www.courtlistener.com/opinion/10325512/richard-mark-dudley-and-deanie-palmer-dudley-v-texas-municipal-power/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=13
"Regeneron Pharmaceuticals, Inc. v. Mylan Pharmaceuticals Inc. (Fed. Cir. 2025)",24-1965,2025-01-29,Court of Appeals for the Federal Circuit,0,,1.0,https://www.courtlistener.com/opinion/10330163/regeneron-pharmaceuticals-inc-v-mylan-pharmaceuticals-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=13
"Facet Technology Corp. v. TomTom International B.V., et al. (D.N.H. 2025)",24-cv-00111-PB,2025-01-28,"District Court, D. New Hampshire",0,,1.0,https://www.courtlistener.com/opinion/10695284/facet-technology-corp-v-tomtom-international-bv-et-al/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=13
Giesecke & Devrient Gmbh v. United States (Fed. Cl. 2025),17-1812,2025-01-27,United States Court of Federal Claims,0,,0.0,https://www.courtlistener.com/opinion/10320989/giesecke-devrient-gmbh-v-united-states/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=13
"Apple Inc. v. Gesture Technology Partners, LLC (Fed. Cir. 2025)",23-1501,2025-01-27,Court of Appeals for the Federal Circuit,0,,1.0,https://www.courtlistener.com/opinion/10330186/apple-inc-v-gesture-technology-partners-llc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=13
"Steuben Foods, Inc. v. Shibuya Hoppmann Corporation (Fed. Cir. 2025)",23-1790,2025-01-24,Court of Appeals for the Federal Circuit,1,"$38,322,283.78",,https://www.courtlistener.com/opinion/10330187/steuben-foods-inc-v-shibuya-hoppmann-corporation/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=13
"Kevin Lavery v. Pursuant Health, Inc. (6th Cir. 2025)",24-1329,2025-01-24,Court of Appeals for the Sixth Circuit,0,,1.0,https://www.courtlistener.com/opinion/10320733/kevin-lavery-v-pursuant-health-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=14
"Steuben Foods, Inc. v. Shibuya Hoppmann Corporation (Fed. Cir. 2025)",23-1790,2025-01-24,Court of Appeals for the Federal Circuit,1,"$38,322,283.78",,https://www.courtlistener.com/opinion/10320595/steuben-foods-inc-v-shibuya-hoppmann-corporation/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=14
"Vanda Pharmaceuticals, Inc. v. United States (Fed. Cl. 2025)",23-629,2025-01-22,United States Court of Federal Claims,0,,0.0,https://www.courtlistener.com/opinion/10318473/vanda-pharmaceuticals-inc-v-united-states/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=14
"State of Texas v. Harris County, Texas (Tex. App.-Houston [15th Dist.] 2025)",15-24-00120-CV,2025-01-21,"Texas Court of Appeals, 15th District",0,,1.0,https://www.courtlistener.com/opinion/10320910/state-of-texas-v-harris-county-texas/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=14
"Tangle, Inc. v. Aritzia, Inc. (9th Cir. 2025)",23-3707,2025-01-14,Court of Appeals for the Ninth Circuit,0,,1.0,https://www.courtlistener.com/opinion/10313402/tangle-inc-v-aritzia-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=14
"Emergency Alerts Innovations, LLC v. United States (Fed. Cl. 2025)",23-889,2025-01-14,United States Court of Federal Claims,0,,1.0,https://www.courtlistener.com/opinion/10313608/emergency-alerts-innovations-llc-v-united-states/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=14
"State of Texas v. Harris County, Texas (Tex. App.-Houston [15th Dist.] 2025)",15-24-00120-CV,2025-01-14,"Texas Court of Appeals, 15th District",1,$46million,1.0,https://www.courtlistener.com/opinion/10317554/state-of-texas-v-harris-county-texas/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=14
"Lynk Labs, Inc. v. Samsung Electronics Co., Ltd. (Fed. Cir. 2025)",23-2346,2025-01-14,Court of Appeals for the Federal Circuit,0,,1.0,https://www.courtlistener.com/opinion/10313375/lynk-labs-inc-v-samsung-electronics-co-ltd/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=14
Marriage of Goldman (Cal. Ct. App. 2025),D082021,2025-01-10,California Court of Appeal,0,,1.0,https://www.courtlistener.com/opinion/10311882/marriage-of-goldman/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=14
Novartis Pharmaceuticals Corporation v. Torrent Pharma Inc. (Fed. Cir. 2025),23-2218,2025-01-10,Court of Appeals for the Federal Circuit,0,,1.0,https://www.courtlistener.com/opinion/10311770/novartis-pharmaceuticals-corporation-v-torrent-pharma-inc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=14
"Atlantic Candy Company N/K/A Whetstone Industries, Inc., and Henry Whetstone, Jr. v. Yowie North America, Inc., and Yowie Equipment Holding, Inc. (Fla. Dist. Ct. App. 2025)",5D2023-1513,2025-01-10,District Court of Appeal of Florida,1,"$150,000",1.0,https://www.courtlistener.com/opinion/10311777/atlantic-candy-company-nka-whetstone-industries-inc-and-henry/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=14
Ceramtec Gmbh v. Coorstek Bioceramics LLC (Fed. Cir. 2025),23-1502,2025-01-03,Court of Appeals for the Federal Circuit,0,,1.0,https://www.courtlistener.com/opinion/10307134/ceramtec-gmbh-v-coorstek-bioceramics-llc/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=14
Silverthorne v. Sterling Seismic (5th Cir. 2025),24-20006,2025-01-03,Court of Appeals for the Fifth Circuit,0,,1.0,https://www.courtlistener.com/opinion/10307237/silverthorne-v-sterling-seismic/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=14
Audemars Piguet Holding SA (T.T.A.B. 2025),90045780,2025-01-02,Trademark Trial and Appeal Board,0,,1.0,https://www.courtlistener.com/opinion/10814958/audemars-piguet-holding-sa/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=14
Audemars Piguet Holding SA (T.T.A.B. 2025),90045814,2025-01-02,Trademark Trial and Appeal Board,0,,1.0,https://www.courtlistener.com/opinion/10814957/audemars-piguet-holding-sa/?q=%22Patents%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=14
