case_name,docket_number,date_filed,court,payment_found,payment_amount,outcome,url
"Venturi Jet Sets, Inc. v. Custom Molded Products, Inc. (D. Utah 2015)",Case No. 2:13-CV-1031 TS,2015-08-11,,0,,unknown,https://www.courtlistener.com/opinion/7315215/venturi-jet-sets-inc-v-custom-molded-products-inc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=1
"WhitServe LLC v. GoDaddy.Com, Inc. (D. Conn. 2014)",Civil Action No. 3:11-cv-00948-WGY,2014-11-04,,0,,unknown,https://www.courtlistener.com/opinion/7310349/whitserve-llc-v-godaddycom-inc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2
"Mamma Mia's Trattoria, Inc. v. The Original Brooklyn Water Bagel Co. Inc. (11th Cir. 2014)",13-12798,2014-09-30,,0,,unknown,https://www.courtlistener.com/opinion/2738473/mamma-mias-trattoria-inc-v-the-original-brooklyn-water-bagel-co-inc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2
Schutte Bagclosures Inc. v. Kwik Lok Corp. (S.D.N.Y. 2014),No. 12 Civ. 5541(JGK),2014-09-29,,0,,unknown,https://www.courtlistener.com/opinion/7308899/schutte-bagclosures-inc-v-kwik-lok-corp/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2
"Ultratec, Inc. v. Sorenson Communications, Inc. (W.D. Wis. 2014)",No. 13-cv-346-bbc,2014-08-28,,0,,unknown,https://www.courtlistener.com/opinion/7308683/ultratec-inc-v-sorenson-communications-inc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2
"Cot'n Wash, Inc. v. Henkel Corp. (D. Del. 2014)","Civ. No. 12-650-SLR, Civ. No. 12-651-SLR",2014-07-11,,0,,unknown,https://www.courtlistener.com/opinion/7309565/cotn-wash-inc-v-henkel-corp/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2
"Fasteners For Retail, Inc. v. DeJohn (Ohio Ct. App. 2014)",100333,2014-04-24,,0,,unknown,https://www.courtlistener.com/opinion/2701739/fasteners-for-retail-inc-v-dejohn/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2
"Universal Electronics, Inc. v. Universal Remote Control, Inc. (C.D. Cal. 2014)",Case No. SACV 12-00329 AG (JPRx),2014-03-24,,0,,unknown,https://www.courtlistener.com/opinion/7307798/universal-electronics-inc-v-universal-remote-control-inc/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2
"Fido's Fences, Inc. v. Radio Systems Corp. (E.D.N.Y 2014)",No. 2:12-cv-00179(NG)(JO),2014-02-28,,0,,unknown,https://www.courtlistener.com/opinion/8731742/fidos-fences-inc-v-radio-systems-corp/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2
"ABT Systems, LLC v. Emerson Electric Co. (E.D. Mo. 2014)",Case No. 4:11CV00374 AGF,2014-02-13,,0,,unknown,https://www.courtlistener.com/opinion/9325360/abt-systems-llc-v-emerson-electric-co/?q=%22Patent+Marking%22&type=o&order_by=dateFiled+desc&stat_Published=on&page=2
